ean,nombre,marca,medida,rubro,precio,precioNumerico
7790060007967,CHOCLO CONGELADO GRANJA DEL SOL BOLSA X 300 GRS,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070034410,NUGGETS GRANJA DEL SOL X400 GRS,GRANJA DEL SOL,GRM,Almacén,"0,00",0.0
7790070034427,NUGGETS DE POLLO GRANJA DEL SOL BOLSA X 900 GRS,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070035967,MILANESA DE SOJA CASERA GRANJA DEL SOL X 4 UN,GRANJA DEL SOL,GRM,Lácteos,"0,00",0.0
7790070035974,MILANESA DE SOJA TIPO CASERA GRANJA DEL SOL X 8 U,GRANJA DEL SOL,GRM,Lácteos,"0,00",0.0
7790070035981,MILANESA DE SOJA ESPINACA GRANJA DEL SOL X 4 UNI,GRANJA DEL SOL,GRM,Carnes,"0,00",0.0
7790070035998,MILANESA DE SOJA CALABAZA GRANJA DEL SOL X 4 UNI,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036001,MILANESA DE ARROZ Y VEGETALES GRANJA DEL SOL X 4 U,GRANJA DEL SOL,GRM,Carnes,"0,00",0.0
7790070036025,MILANESAS DE 4 VEGETALES GRANJA DEL SOL X 4 UNI,GRANJA DEL SOL,GRM,Carnes,"0,00",0.0
7790070036032,MILA SOJA RELL ESPINACA QUESO GRANJA DEL SOL 380GR,GRANJA DEL SOL,GRM,Lácteos,"0,00",0.0
7790070036049,MILA SOJA RELL CALABAZA QUESO GRANJA DEL SOL 380GR,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036056,MILA SOJA RELL NAPOLITANA GRANJA DEL SOL 380 GR,GRANJA DEL SOL,GRM,Almacén,"0,00",0.0
7790070036063,SUPREMAS DE POLLO GRANJA DEL SOL BOLSA X 360 GRS,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036070,SUPREMAS ESPINACA QUESO GRANJA DEL SOL X 400 GRS,GRANJA DEL SOL,GRM,Lácteos,"0,00",0.0
7790070036131,MEDALLON DE POLLO GRANJA DEL SOL BOLSA X 4 U,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036148,SUPREMITAS DE POLLO CROCANTES GRANJA DEL SOL X480G,GRANJA DEL SOL,GRM,Carnes,"0,00",0.0
7790070036155,MILANESA DE LEGUMBRES GRANJA DEL SOL X 4UN,GRANJA DEL SOL,GRM,Carnes,"0,00",0.0
7790070036230,MEDALLON QUINOA ESP VEGGIES GRANJA DEL SOL X 440GR,GRANJA DEL SOL,GRM,Congelados,"0,00",0.0
7790070036247,MEDALLON GARB.CALABAZA VEGGIES GRANJA DEL SOL 440G,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036261,MEDALLON CEBOLLA ARROZ VEGGIES GRANJA DEL SOL 440G,GRANJA DEL SOL,GRM,Frutas y Verduras,"0,00",0.0
7790070036278,ESPINACA CONGELADA GRANJA DEL SOL X 500 GRS,GRANJA DEL SOL,GRM,Frutas y Verduras,"0,00",0.0
7790070036285,ESPINACA CONGELADA GRANJA DEL SOL BOLSA X 1 KG,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036292,ACELGA CONGELADA GRANJA DEL SOL BOLSA X 500 GRS,GRANJA DEL SOL,GRM,Limpieza,"0,00",0.0
7790070036308,BROCOLI CONGELADO GRANJA DEL SOL X 400 GRS,GRANJA DEL SOL,GRM,Frutas y Verduras,"0,00",0.0
