supermercado,provincia,localidad,direccion,latitude,longitude
La Anónima,Buenos Aires,Chacabuco,Sarmiento 36,-34.6438029,-60.4707923
La Anónima,Buenos Aires,Chivilcoy,Av. Francisco Soárez 52,-34.8969591,-60.0190499
La Anónima,Buenos Aires,Bragado,Rivadavia 2080,-35.1197138,-60.4803693
La Anónima,Buenos Aires,Carmen de Patagones,San Lorenzo Esq. Villegas 59,-40.7980817,-62.9803499
La Anónima,Buenos Aires,Junín,Ruta Nacional Nro. 7 km 260,-34.5960994,-60.9767093
La Anónima,Buenos Aires,Colón,Calle 20 Nro. 718,-33.8849544,-61.1084913
La Anónima,Buenos Aires,Salto,Moreno 360,-34.2905502,-60.2543863
La Anónima,Buenos Aires,Arrecifes,Dr. Carlos Merlasino 524,-34.0674983,-60.108738
La Anónima,Buenos Aires,Lincoln,Ituzaingó 147,-34.8637416,-61.5282926
La Anónima,Buenos Aires,Trenque Lauquen,Av. García Salinas 1100 y Pincen,-35.9731074,-62.7328794
La Anónima,Buenos Aires,Florentino Ameghino,Calle 32 21,-34.8452487,-62.4668089
La Anónima,Buenos Aires,Carlos Casares,Vicente López y Las Heras 40,-35.6232368,-61.3650016
La Anónima,Buenos Aires,Pehuajó,Rivarola 310,-35.8137286,-61.89814
La Anónima,Buenos Aires,General Villegas,San Martín 200 y Rivadavia,-35.032594,-63.0148473
La Anónima,Buenos Aires,América,Viamonte 240,-35.4917938,-62.9795583
La Anónima,Buenos Aires,Junín,Bernardino Rivadavia 199 esq. Pellegrini,-34.5934412,-60.9461678
La Anónima,Buenos Aires,Azul,Av. Monseñor Cáneva 560 esquina Av. Belgrano,-36.777492,-59.863442
La Anónima,Buenos Aires,Mercedes,Avenida 40 esq. 39,-34.6454989,-59.4242892
La Anónima,Buenos Aires,Trenque Lauquen,Simini 836,-35.9786796,-62.7416535
La Anónima,Buenos Aires,9 de Julio,Av Agustín Álvarez 261,-35.4564152,-60.8913743
La Anónima,Chaco,Resistencia,Av. Sarmiento 2610,-27.4315376,-58.9642828
La Anónima,Chubut,Trelew,Belgrano 292,-43.2458674,-65.3115122
La Anónima,Chubut,Rawson,Luis Costa 172,-43.3023494,-65.1047994
La Anónima,Chubut,Puerto Madryn,H. Yrigoyen 76 esq. 25 de Mayo,-42.7673414,-65.0365942
La Anónima,Chubut,Esquel,Roca 710,-42.9143429,-71.3233084
La Anónima,Chubut,Trelew,Av. H. Yrigoyen 1650,-43.2531242,-65.3094407
La Anónima,Chubut,Esquel,Av. Fontana 705,-42.9113259,-71.3192465
La Anónima,Chubut,Comodoro Rivadavia,13 de Diciembre 150,-45.8693332,-67.5019774
La Anónima,Chubut,Comodoro Rivadavia,San Martín 100,-45.8610664,-67.4752434
La Anónima,Chubut,Comodoro Rivadavia,Fco. de Viedma 102,-45.8632024,-67.4752615
La Anónima,Chubut,Comodoro Rivadavia,Alem 962,-45.8604291,-67.4989136
La Anónima,Chubut,Comodoro Rivadavia,Atahualpa Yupanqui 400,-45.8761097,-67.5178697
La Anónima,Chubut,Trelew,Pellegrini 1422,-43.2658909,-65.3010929
La Anónima,Chubut,Puerto Madryn,Italia 500,-42.7697591,-65.0440532
La Anónima,Chubut,Sarmiento,España 412,-45.5892714,-69.0680846
La Anónima,Chubut,Trelew,25 de Mayo 1151,-43.2565224,-65.3219196
La Anónima,Chubut,Comodoro Rivadavia,Av. Chile 1625,-45.8835554,-67.545278
La Anónima,Chubut,Puerto Madryn,Chubut 1400,-42.7812118,-65.0373374
La Anónima,Chubut,Trevelin,Av. San Martín 1440,-43.0977351,-71.464664
