Categoria;Rubro;Subrubro;Marca;Nombre_Producto;Medida;Precio
Almacén;Golosinas;Alfajores;Milka;Alfajor Triple Mousse Chocolate;55g;2758
Almacén;Golosinas;Chocolates;Cofler;Chocolate con Leche Aireado Leger;100g;2487
Almacén;Golosinas;Caramelos y Chupetines;Flynn Paff;Caramelos Masticables Sabor Tutti Frutti;140g;1745
Almacén;Golosinas;Chicles y Pastillas;Beldent;Chicles Menta Fuerte Sin Azúcar;8.5g;3037
Almacén;Golosinas;Bombones y Bocaditos;Cabsha;Bocadito Relleno de Dulce de Leche;18u;2892
Almacén;Golosinas;Confituras;Rocklets;Lentejas de Chocolate Surtidas;120g;1465
Almacén;Golosinas;Donas, Rolls y Bizcochuelos;Bagley;Bizcochuelo Relleno con Dulce de Leche;250g;806
Almacén;Golosinas;Gomitas y Gelatinas;Mogul;Gomitas de Eucalipto y Menta;150g;1323
Almacén;Golosinas;Malvaviscos;Festy;Malvaviscos Color Surtido;150g;2237
Almacén;Golosinas;Obleas, Turrones y Postres de Maní;Mantecol;Postre de Maní Tradicional Navideño;250g;1424
Almacén;Golosinas;Tabletas;Cofler;Chocolate con Leche Aireado Leger;100g;2382
Almacén;Panaderia;Galletitas;Bagley;Galletitas Dulces Surtido Familiar;400g;4270
Almacén;Panaderia;Panaderia Propia;Coto;Pan Mignon de Elaboración Propia;1kg;4095
Almacén;Panaderia;Panificados;Lactal;Pan de Molde Blanco Familiar;560g;3191
Almacén;Panaderia;Galletas, Tostadas y Grisines;Bagley;Galletitas Dulces Surtido Familiar;400g;2489
Almacén;Panaderia;Bizcochos;9 de Oro;Bizcochos de Grasa Clásicos;200g;1661
Almacén;Panaderia;Bizcochuelos y Especialidades;Coto;Especialidad de Panadería Bizcochuelos y Especialidades;500g;3738
Almacén;Panaderia;Turrones y Confituras;Coto;Especialidad de Panadería Turrones y Confituras;500g;4110
Almacén;Panaderia;Budines;Coto;Especialidad de Panadería Budines;500g;3333
Almacén;Panaderia;Pan Dulce;Don Satur;Pan Dulce con Frutas Abrillantadas;500g;2233
Almacén;Snacks;Papas Fritas;Lay's;Papas Fritas Clásicas con Sal;150g;2808
Almacén;Snacks;Bastones de Maiz;Cheetos;Bastones de Maíz Sabor Queso;120g;1664
Almacén;Snacks;Mani;Pehuamar;Maní Salado Pelado Tradicional;150g;1555
Almacén;Snacks;Palitos;Krachitos;Palitos Salados Clásicos de Copetín;120g;3346
Almacén;Snacks;Galletitas Copetin;Saladix;Galletitas Copetín Sabor Jamón;120g;2603
Almacén;Snacks;Maiz Saborizado;Cheetos;Bastones de Maíz Sabor Queso;120g;2465
Almacén;Snacks;Nachos;Macritas;Nachos de Maíz Clásicos Bolsa;150g;3349
Almacén;Snacks;Snacks Especiales;Lay's;Snack Saborizado Snacks Especiales;120g;1303
Almacén;Cereales;Cereales con Azúcar;Kellogg's;Zucaritas Copos de Maíz Azucarados;300g;2901
Almacén;Cereales;Cereales Infantiles;Nestlé;Cereal Infantil Nesquik de Chocolate;230g;4002
Almacén;Cereales;Break Saludables;Granix;Cereal de Break Saludables;250g;4956
Almacén;Cereales;Barras de Arroz;Granix;Barras de Cereal con Frutilla y Avena;6u;4161
Almacén;Cereales;Cereales de Avena;Quaker;Avena Instantánea Tradicional Bolsa;350g;3734
Almacén;Cereales;Avena;Quaker;Avena Instantánea Tradicional Bolsa;350g;5362
Almacén;Cereales;Barras;Granix;Barras de Cereal con Frutilla y Avena;6u;2369
Almacén;Cereales;Granola;Tres Arroyos;Granola con Almendras y Coco;300g;4285
Almacén;Cereales;Fitness;Granix;Cereal de Fitness;250g;2522
Almacén;Cereales;Salvado de Avena;Quaker;Avena Instantánea Tradicional Bolsa;350g;2023
Almacén;Endulzantes;Azúcar;Ledesma;Azúcar Común Tipo A Blanca;1kg;1527
Almacén;Endulzantes;Edulcorante;Hileret;Edulcorante Líquido con Stevia Forte;200ml;1275
Almacén;Aderezos y Salsas;Mayonesas;Hellmann's;Mayonesa Clásica Sachet Familiar;500g;6138
Almacén;Aderezos y Salsas;Mostazas;Savora;Mostaza Tradicional con Especias Sachet;250g;3080
Almacén;Aderezos y Salsas;Ketchup;Hellmann's;Ketchup Clásico Sachet Regular;250g;2253
Almacén;Aderezos y Salsas;Salsas Golf;Natura;Salsa Golf Tradicional Sachet;250g;4596
Almacén;Aderezos y Salsas;Aderezo Caesar;Natura;Aderezo Especial Sabor Aderezo Caesar;250g;1589
Almacén;Aderezos y Salsas;Aderezo de Soja;Natura;Aderezo Especial Sabor Aderezo de Soja;250g;4197
Almacén;Aderezos y Salsas;Aderezo Yogur;Natura;Aderezo Especial Sabor Aderezo Yogur;250g;2094
Almacén;Aderezos y Salsas;Aderezo Dkt;Natura;Aderezo Especial Sabor Aderezo Dkt;250g;1958
Almacén;Aderezos y Salsas;Barbacoa;Heinz;Salsa Barbacoa Estilo Americano;390g;4793
Almacén;Aderezos y Salsas;Chimichurri;Dos Anclas;Salsa Chimichurri Tradicional Argentina;200cc;4866
Almacén;Aderezos y Salsas;Salsa Inglesa;La Virginia;Salsa Inglesa Condimento;150cc;1761
Almacén;Aderezos y Salsas;Tabasco;Tabasco;Salsa Picante Roja Original Vidrio;60ml;5377
Almacén;Aderezos y Salsas;Condimentos Saborizantes;Natura;Aderezo Especial Sabor Condimentos Saborizantes;250g;5726
Almacén;Aderezos y Salsas;Quesos;Natura;Aderezo Especial Sabor Quesos;250g;4375
Almacén;Aderezos y Salsas;Aderezos Refrigerados;Natura;Aderezo Especial Sabor Aderezos Refrigerados;250g;6704
Almacén;Aderezos y Salsas;Salsa Picante;Tabasco;Salsa Picante Roja Original Vidrio;60ml;4011
Almacén;Aderezos y Salsas;Salsa de Ajo;Natura;Aderezo Especial Sabor Salsa de Ajo;250g;3712
Almacén;Aderezos y Salsas;Aderezo Barbacoa;Heinz;Salsa Barbacoa Estilo Americano;390g;2895
Almacén;Aderezos y Salsas;Pesto;Natura;Aderezo Especial Sabor Pesto;250g;1518
Almacén;Aderezos y Salsas;Salsa Blanca;Natura;Aderezo Especial Sabor Salsa Blanca;250g;3841
Almacén;Aderezos y Salsas;Salsa Guacamole;Natura;Aderezo Especial Sabor Salsa Guacamole;250g;3611
Almacén;Aderezos y Salsas;Babaganush;Natura;Aderezo Especial Sabor Babaganush;250g;6576
Almacén;Aderezos y Salsas;Coleslaw;Natura;Aderezo Especial Sabor Coleslaw;250g;3897
Almacén;Infusiones;Café;Nescafé;Café Soluble Instantáneo Tradicional;170g;3306
Almacén;Infusiones;Mate;Playadito;Yerba Mate con Palo Confort Elaborada;1kg;5741
Almacén;Infusiones;Té;La Virginia;Té Negro Clásico Hebras Filtro;100 Saquitos;9685
Almacén;Infusiones;Cacao en Polvo;Nesquik;Cacao en Polvo Instantáneo Sabor Chocolate;360g;6601
Almacén;Infusiones;Mate Cocido;Taragüí;Mate Cocido en Saquitos Clásico;50u;10028
Almacén;Infusiones;Complementos para Infusiones;La Virginia;Infusión Saborizada Complementos para Infusiones;20 Saquitos;7458
Almacén;Infusiones;Cebada;La Virginia;Infusión Saborizada Cebada;20 Saquitos;5352
Almacén;Conservas;Conservas de Carne;Swift;Picadillo de Carne Vacuna Lata;90g;1624
Almacén;Conservas;Conservas de Frutas;La Campagnola;Duraznos en Almíbar Mitades Lata;820g;1878
Almacén;Conservas;Conservas de Pescado;Gomes da Costa;Atún Desmenuzado en Aceite Natural;170g;5062
Almacén;Conservas;Conservas Vegetal;Arcor;Choclo Amarillo Entero en Granos Lata;300g;5946
Almacén;Conservas;Comidas Listas;La Campagnola;Conserva Premium Comidas Listas;340g;3890
Almacén;Harinas;Harina de Arroz;Morixe;Harina Especial de Harina de Arroz;1kg;4086
Almacén;Harinas;Harina de Trigo;Morixe;Harina de Trigo Tipo 0000 Ultrafina;1kg;2780
Almacén;Harinas;Harina de Maíz;Presto Pronta;Harina de Maíz Instantánea Polenta;500g;2691
Almacén;Harinas;Premezcla;Exquisita;Premezcla para Torta Bizcochuelo Chocolate;540g;2752
Almacén;Harinas;Sémola;Morixe;Harina Especial de Sémola;1kg;2653
Almacén;Harinas;Harina Orgánica;Morixe;Harina Especial de Harina Orgánica;1kg;2571
Almacén;Harinas;Harina sin Gluten;Pureza;Harina Sin T.A.C.C. Especial Gluten Free;500g;2974
Almacén;Harinas;Harina Leudante;Blancaflor;Harina de Trigo Leudante Clásica;1kg;1333
Almacén;Harinas;Cous Cous;Morixe;Harina Especial de Cous Cous;1kg;3782
Almacén;Harinas;Garbanzo;Morixe;Harina Especial de Garbanzo;1kg;5840
Almacén;Harinas;Harina Integral;Morixe;Harina Especial de Harina Integral;1kg;4479
Almacén;Harinas;Harina de Legumbres;Morixe;Harina Especial de Harina de Legumbres;1kg;4743
Almacén;Harinas;Harina de Maní;Morixe;Harina Especial de Harina de Maní;1kg;2761
Almacén;Harinas;Harina de Almendras;Morixe;Harina Especial de Harina de Almendras;1kg;4084
Almacén;Encurtidos;Aceitunas;Nucete;Aceitunas Verdes en Salmuera Descarozadas;200g;4801
Almacén;Encurtidos;Ají;La Toscana;Encurtido Tradicional Ají;200g;4273
Almacén;Encurtidos;Alcaparras;La Toscana;Encurtido Tradicional Alcaparras;200g;2952
Almacén;Encurtidos;Alcaucil;La Toscana;Encurtido Tradicional Alcaucil;200g;4680
Almacén;Encurtidos;Berenjenas;La Toscana;Encurtido Tradicional Berenjenas;200g;4307
Almacén;Encurtidos;Cebollitas;La Toscana;Encurtido Tradicional Cebollitas;200g;2563
